What Does a Liar Do When He's Dead?,He Lies Still
It can be cruel poetic or blind but when it's denied it's violence you may find.,Justice
If you are Justice please do not lie. What is the price for your blind eye?,Bribe
Since your justice is so select please tell us which vermin you're paid to protect.,Falcone
What's black and blue and dead all over?,Batman
The less you have of them the more one is worth.,Friend
Why is corn so hard to escape from?,Maize
Tweedle-Dee and Tweedle-Dum saw it. Can you see it?,see-saw
What is always on time but never arrives?,Tomorrow
I feel your every move. I know your every thought. I'm with you from birth and I'll see you when you rot.,reflection
My greatest of my strengths is that I know my worth. I hug myself so tightly at every birth.,knot
We're five little items of an everyday sort you'll find us all in a tennis court.,Vowels
I have billions of eyes yet live in darkness. I have millions of ears yet only four lobes. I have no muscle yet rule two hemispheres. What am I?,Brain
13 15 & 8,MRE
I can be cracked. I can be made. I can be told. I can be played. What am I?,Joke
I can start a war or end one. I can give you the strength of heroes or leave you powerless. I might be snared with a glance but no force can compel me to stay. What am I?,Love
What is the beginning of eternity the end of time and space the beginning of every end and the end of every race?,E
If you look at the numbers on my face you won't find 13 anyplace.,clock
The More You Take the More You Leave Behind. What Am I?,Footsteps
What Comes Once in a Minute Twice in a Moment But Never in a Thousand Years?,M
Without fingers I point without arms I strike without feet I run. What am I?,clock
It’s not a joke but sometimes you need to shout it twice to really mean it.,Ha
What belongs to you but is used by others?,Name
The more you cut me the bigger I grow. What am I?,Hole
What do you call a tavern of blackbirds?,Crowbar
